field	contract
schema	yai.derived_memory_store.v2
directory	$YAI_HOME/store/derived-memory/v2/<tenant-hash>/<case-hash>/profiles/<profile-hash>/builds/<index-id>
seal	seal.json: schema, logical IDs, item count, dimension, element count, component exact lengths/checksums
metadata	metadata.json: corpus/document metadata, BM25, embedding metadata without vector values, logical manifest
vectors	vectors.f32le: float32 little-endian, row order equals embedding metadata, exact row count*dimension*4
pointer	current.json: v2, Case/profile/index/checksum; atomic temporary+rename
legacy physical v1	disposable; not canonical; operator rebuilds from Transition-derived OperationalMemory
semantic schemas	W19 v1 logical schemas unchanged
mmap	not admitted; exact scan uses validated owned vectors; mmap remains optional optimization only
format owner	derived physical format has no semantic owner
