legacy_property	legacy_evidence	refounded_equivalent	status	stronger_current_property	intentional_rejection
deterministic RULE parser	45c36bd0c tools/gen/deterministic_governance_ingestion.py	compile_policy_source constrained JSON	refounded_proven	exact bytes/digests/strict known fields	Markdown/YAML breadth
parsed fact source line	parsed/*.json raw_statement_ref	fact source_id + JSON location	refounded_proven	cryptographic source identity	confidence copied from manifest
normalized candidates	normalized/*.json	PolicyIr	refounded_proven	deterministic digest + typed conflict/unresolved	large candidate topology metadata
candidate runtime_consumable	candidate JSON/runtime attach registry	PolicyArtifactView.runtime_consumable	refounded_proven	derived only from qualified+published	candidate-time true flag
review lifecycle	tools/bin/yai-govern	append-only lifecycle events	refounded_proven	immutable artifact/integrity/global order	mutable review/candidate files
governance registry	governance/registry/governable-objects.v1.json	none	legacy_structure_rejected	immutable direct IDs/list query	registry without demonstrated promotion consumer
workspace attach	case runtime/session aliases + registry refs	yai.case_policy_binding.v1 typed Case transitions	refounded_proven	exact immutable version/event pinning + replay	mutable alias/registry attachment
normative readiness	case registry boolean + control bridge gate	derived NormativeStatus	refounded_proven	readiness recomputed from exact bindings/artifacts/materializer	free canonical boolean
generated effective governance	stated/legald DuckDB views; later resolver	EffectivePolicy v1	refounded_proven	deterministic semantic identity/provenance/rebuild	mutable second truth/default authority injection
authority/evidence profiles	candidate metadata/manifests	typed IR fact subset	partially_refounded	only current coherent semantics retained	unused taxonomy bulk
Case-qualified mediation	8daca5604 control/runtime gate	yai.decision_basis.v1 + transition.v6	refounded_proven	exact EffectivePolicy/binding/rule provenance and closed-world result	Supervisor/planes
authority profile/context	a6b67ee39 string matching	Case Participant roles + policy authority_requirement	refounded_proven	typed operation-scoped all-of eligibility	mutable aliases/substrings
controlled action admission	controlled_action.c mega-envelope	yai.execution_grant.v2	refounded_proven	transactionally current DecisionBasis/EffectivePolicy + one effect	ambient operator flags/duplicate envelope
evidence refs	mediation/evidence strings	typed obligation evaluations	refounded_proven	canonical provider/review refs and execution phases	decorative evidence metadata
evidence integrity posture	legacy unknown/unverified/verified/tampered labels	canonical Transition evidence resolution	refounded_proven	verification is derived, not caller supplied	Evidence registry/plane
authority object integrity	legacy records/controlled-action refs	content integrity plus transactional semantic re-derivation	refounded_proven	valid digest cannot manufacture authority	string mediation/default ALLOW
Grant freshness	ambient operator/case/profile state	exact Decision adjacency + expected Grant re-derivation	refounded_proven for current issuance	any intervening Transition forces new Decision	classifying transitions as harmless
historical policy explanation	mutable profile/view references	DecisionBasis pins P1 and replays after P2	partially_refounded	history not reevaluated under current policy	moving aliases
temporal validity strings	PolicyValidityContract v4 + derived PolicyValidityPosture	refounded_proven	explicit immutable window and weakest composition	scattered clocks/default expiry
legacy revoke/cache precedence	PolicyLifecycleEvent v2 Revoked	refounded_proven	append-only terminal withdrawal consumed by Case authority	edge distribution planes
volatile grant terminal state	ExecutionGrant v3 + ExecutionGrantInvalidated	refounded_proven for filesystem carrier	finite authority and replayable Expired/Revoked/Abandoned	fixed global registry/bearer posture
workspace suspend/destroy	CaseCancellationRequested + CaseClosed	refounded_proven	non-destructive durable barrier and mechanically safe terminal close	Workspace ownership/deletion
authn_verified post-auth context	sealed kernel-observed AuthenticatedPrincipal + durable SecurityPrincipal binding	refounded_proven within local POSIX trust model	effective credential selects enrolled identity; real credential retained as provenance	password-on-argv/stdin user store and self-verified local-dev auth
root/user Case separation	immutable Tenant security domain on every new Case	refounded_proven	one Case Tenant plus membership-gated read/write boundary	root/user hierarchy and ambient root authority
legacy principal/session role strings	Principal→Tenant membership→explicit Case Participant link→Case roles	refounded_proven	authentication, membership, participation and role remain four distinct facts	caller OPERATOR/arming and UserSession mega-context
owner_ref governance namespace	Tenant+policy_key artifact lineage and Tenant-safe Case binding	refounded_proven	same source bytes/key remain authority-distinct across Tenants	string coincidence as migration/ownership
organization metadata	immutable Tenant organization_ref projection	partially_refounded	Organization never merges Tenant isolation domains	Organization registry/plane without lifecycle consumer
persisted runtime-machine state	yai.runtime_instance.v1 operational LMDB record	refounded_proven	PID/token lease, finite config and Starting/Running/Draining/Stopped lifecycle	Supervisor/daemon ownership
process scan_all + PID probes	bounded startup recovery sweep plus dead-instance/work reclaim	refounded_proven	canonical Case effect/review/checkpoint truth outranks scheduler state	process attachment scan as Case scheduling
source runtime durable spool	yai.runtime_work_item.v1 + idempotency index	refounded_proven	Tenant/Case/Principal-bound bounded work with scheduler-only posture	edge/source ownership topology
shell queue gate	pure Tenant-filtered runtime queue/status views	refounded_proven	queue state cannot create Operation/Decision/Grant	equivalent-command strings as execution authority
embedded law/overlay/compliance forest	governance tree/manifests	none	legacy_structure_rejected	future owner test per consumer	planes and scaffolding
