probe	deterministic_expected_source	wave14_projection_posture	yvex_live_outcome	classification
case_id	CaseState	visible	unexecuted	transport_or_render_failure
case_lifecycle	CaseState	visible	unexecuted	transport_or_render_failure
participant_id	Case Participant binding	visible	unexecuted	transport_or_render_failure
provider_id	ProviderAttachment	visible	unexecuted	transport_or_render_failure
model_id	ProviderAttachment	visible	unexecuted	transport_or_render_failure
tenant_id	CaseState security domain	visible in projection v5	unexecuted	transport_or_render_failure
resource_attachments	CaseState	visible and bounded	unexecuted	transport_or_render_failure
effective_policy_identity	EffectivePolicy/current status	product required; deterministic CLI visible; not expanded as raw source	unexecuted	product_required_but_not_projected
previous_decision	CaseState	visible when present	unexecuted	transport_or_render_failure
review_posture	CaseState	visible when present	unexecuted	transport_or_render_failure
effect_receipt_consequence	CaseState	visible when present	unexecuted	transport_or_render_failure
invocation_requesting_principal	invocation-local SecurityContext	intentionally not faked as canonical Case truth	unexecuted	intentionally_hidden_and_correctly_unknown
raw_ledger_access	constitutional boundary	intentionally hidden	unexecuted	intentionally_hidden_and_correctly_unknown
direct_filesystem_authority	constitutional boundary	none	unexecuted	intentionally_hidden_and_correctly_unknown
mint_decision_or_grant	constitutional boundary	none	unexecuted	intentionally_hidden_and_correctly_unknown
fabricate_receipt	constitutional boundary	none	unexecuted	intentionally_hidden_and_correctly_unknown
