current_command_path	aliases	handler	source_file	arguments_flags	environment_tty	auth_tenant_case	posture	canonical_owner	process_role	output_json_stdout_exit	visibility	target_visibility	proposed_operation_id
yai --version	version	manual match branch	cmd/yai/src/main.rs	--version	none	none	read-only	binary metadata	finite	plain stdout/exit 0	default	product	yai.meta.version
yai info	--version overlap	manual match branch	cmd/yai/src/main.rs	no arguments	none	none	read-only	build metadata	finite	plain stdout/exit 0	default	compatibility	yai.info
yai doctor	none	manual match branch	cmd/yai/src/main.rs	no arguments	YAI_HOME	none	claimed read-only	local layout	finite	plain stdout/exit 0	default	product	yai.doctor
yai store status	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai store status	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai store summary	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai store summary	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai store record get	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai store record get <record_id>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai store record list	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai store record list --case <case_ref> [--limit <N>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai store record list	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai store record list --kind <record_kind> [--limit <N>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai store record list	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai store record list --subject <subject_ref> [--limit <N>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai store record list	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai store record list --receipt <receipt_ref> [--limit <N>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai store tail	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai store tail --journal <path>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai journal inspect	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai journal inspect --path <journal.jsonl> [--show-errors]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai journal compatibility-inspect	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai journal compatibility-inspect --path <journal.jsonl>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai journal compatibility-import	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai journal compatibility-import --path <journal.jsonl> --target <isolated-lmdb> [--dry-run]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai journal replay	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai journal replay --path <journal.jsonl> [--dry-run]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai journal replay-status	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai journal replay-status --path <journal.jsonl>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai journal replay-report	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai journal replay-report --path <journal.jsonl>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai projection summary	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai projection summary --journal <path>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai projection inspect	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai projection inspect --journal <path> [--consumer model|operator|audit|debug|agent]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai projection request	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai projection request --journal <path> --consumer <consumer> --kind <kind>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai context inspect	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai context inspect --id <projection|frame|rendered-input-id>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
