family	legacy_states_or_stages	consumer	persistence	strong_property	problem	refounded_state	recheck
governance_intake	source;parsed;normalized;candidate	yai-govern + validators	tracked JSON files	deterministic staged derivation	no content identity/canonical store	PolicySourceArtifact→ParsedPolicy→PolicyIr→candidate	future consumer recheck
governance_review	candidate;validated_candidate;review_ready;under_review;approved;apply_eligible;applied;superseded;retired;withdrawn	yai-govern review CLI	mutable review/candidate JSON	candidate not immediately executable	states broader than consumers;mutable artifact;approve/apply bug	candidate;validated;published;superseded;retired append-only	Wave10 authority
workspace_policy_attach	attach;activate;detach	workspace runtime C	workspace manifest+evidence	eligibility before attach;missingness blocks	mutable alias/registry and no exact replay	CasePolicyBound;CasePolicyReplaced;CasePolicyUnbound typed transitions	Wave10/11
normative_materialization	refs present;ready boolean	supervisor/control bridge	registry latest JSON+generated DuckDB view	fail closed before mediation	free boolean;moving aliases;duplicate mutable truths	EffectivePolicy derivation + unconfigured/ready/blocked	Wave10 authority
human_operation_review	legacy pending/resolve/quarantine	fixtures/control	journal/summary	pause and human gate	fixture-owned effect/identity	pending;deferred;approved;denied typed Case state	Wave10
operation_admission	policy evaluation;authority gate;review gate;controlled action	mediation/runtime bridge	mixed decision/evidence records	separate normative/review/reason concepts	default ALLOW;string context;duplicate rewriting	DecisionBasis→Decision→optional Review→final Decision→policy-bound Grant	Wave11 validity
evidence_obligation	declared evidence refs;pre/post carrier fields	mediation/controlled action	mega-envelope	obligation distinct from evidence	mostly copied strings; validator bypass	admission evidence status + Grant execution requirements	future evidence consumers
authority_write_admission	policy result;authority gate;decision projection;controlled action	mediation/runtime carrier	mixed records and string refs	separation of policy/authority/review/evidence	self-consistent caller material could cross weak boundaries	transactional semantic re-derivation of Decision/Review/Grant	Wave11 validity
historical_authority_replay	decision/evidence records	runtime/audit	mixed record history	past basis should remain explainable	moving profiles and mutable views	self-contained P1 basis replay after P2 current	Wave11/18
policy_temporal_validity	valid;refresh_required;stale;expired;revoked	edge/local runtime	caller JSON + scattered wall clock	weaker/older authority contracts autonomy	string/default windows;no rollback fence	derived binding/Case validity over immutable v4 artifacts + revoke events	Wave12 identity
unused_grant	pending;active;revoked;expired	volatile kernel grant registry	process memory	terminal authority contraction	fixed registry;expiry not time-consumed	Issued→Expired/Revoked/Abandoned before PREPARE	second carrier/distributed leases
case_termination	workspace suspend/destroy;Case closing taxonomy	workspace/session runtime	mixed/deletion	guard lifecycle mutations	Workspace != Case; destroy erased ownership	CaseCancellationRequested→settlement→CaseClosed	archive/reopen only with new archaeology
case_runtime	many scheduler/session forms	legacy runtime	mixed	restart/bounded stop	Agent/Orchestrator ownership	disposable Case runner + noncanonical admission	Wave13
authenticated_identity	login;authn_verified;post-auth shell;runtime session	yai-auth/substrate/runtime ingress	user store + session records	authentication distinct from runtime context	password/env/self-verified local auth;session mega-context	kernel POSIX projection→enrolled Principal→invocation SecurityContext	external SSO/account only with consumer
tenant_membership	root/user visibility and session ownership	legacy substrate/session	mutable session/root-user Case records	scoped visibility and root/user contamination barrier	no true Tenant lifecycle or persistence boundary	immutable Tenant→Owner/Member append-only security events	membership removal only with consumer
case_security_domain	active Case selected inside authenticated session	legacy runtime session	mutable session fields	identity context propagated to Case	Case ownership tied to root/user topology	TenantCaseOpened→immutable Case tenant_id→terminal Case lifecycle	Wave13 multi-Case runtime
