edge	owner	durable	canonical	expected_predecessor	crash_behavior_before_h13	replay_or_recovery_before_h13
submission->RuntimeWorkItem	store/lmdb.rs submit_runtime_work	yes: LMDB runtime_work_items	no	live RuntimeInstance plus authenticated Principal/Tenant/Case	atomic reject or queued item; no Case mutation	idempotency index returns the accepted item
RuntimeWorkItem->queue visibility	store/lmdb.rs list_runtime_work_items_txn	yes: item state/enqueue_sequence	no	content-valid queued/nonterminal item	read-only full historical DB scan	security-filtered listing sorted by enqueue_sequence
queue->scheduler selection	cmd/yai/runtime_instance.rs select_fair_work	no: RAM last_tenant	no	queued item, per-Tenant quota, no same-Case active item, resource disjointness	selection is lost; fairness restarts at first Tenant	selection recomputed from every persisted WorkItem
scheduler selection->claim	store/lmdb.rs claim_runtime_work	yes: one LMDB update	no	Queued, RuntimeInstance owner token/Principal/lease, Case security/lifecycle/FIFO/quota	before commit remains Queued; after commit remains Running	stale Running was unconditionally changed to Queued
claim->worker receive	cmd/yai/runtime_instance.rs channel	claim only	no	Running item plus in-process worker channel	crash leaves Running without Case admission/checkpoint	recovery unconditionally changed Running to Queued
worker->CaseRuntimeAdmission	case_runtime.rs run_with_admission + store/lmdb.rs	yes: operational LMDB lease	no	Running WorkItem, exact Case/runtime/work checkpoint identity	admission lease is stale/dead-reclaimable	next execution reacquires per-Case admission
CaseRuntimeAdmission->Case checkpoint	case_runtime.rs write_checkpoint	yes: temp file plus rename	no	admission owner and exact Case/run/work identity	old checkpoint or atomically renamed new JSON; temp ignored by reader	checkpoint read by exact Case path; work/instance checked only at execute_runtime_work
checkpoint->canonical Case work	case_runtime.rs run_loop + existing governance/effect stores	yes: Case Transitions/CaseState	YES	Running/resumable checkpoint and all security/governance gates	canonical boundaries survive; external-effect protocol settles/reconciles	restart consumes canonical ProviderResult/Decision/Grant/PREPARE state
canonical Case work->terminal checkpoint	case_runtime.rs run_loop/write_checkpoint	yes: checkpoint	the checkpoint is operational evidence over canonical truth	canonical semantic stop reached	terminal checkpoint survives even if scheduler acknowledgement is lost	before H13 recovery did not classify it
terminal checkpoint->worker result	case_runtime.rs CaseRuntimeReport + channel	no	no	terminal checkpoint written	process crash loses result	before H13 no independent result recovery
worker result->WorkItem terminal update	store/lmdb.rs update_runtime_work_state	yes: LMDB runtime_work_items	no	Running plus expected worker/token	crash window leaves WorkItem Running despite terminal checkpoint	before H13 sweep changed it to Queued and resume reset checkpoint Running
RuntimeInstance heartbeat	store/lmdb.rs heartbeat_runtime_instance	yes: LMDB runtime_instances	no	Principal+token+PID+unexpired lease	missed heartbeat could permit reclaim at lease expiry even while PID lived	PID kill(0) only used during acquisition dead-owner alternative
startup->recovery sweep	cmd/yai/runtime_instance.rs recovery_sweep	yes: WorkItem repairs	no	new/reclaimed RuntimeInstance owner	partial scan repairs persist individually	before H13 Running always became Queued; terminal checkpoint ignored
