evidence_id	commit	path_or_symbol	executable_finding	recovery_verdict
L13-01	68095595327a6ea11024c044ac9205496701a854	core/runtime/machine/runtime_machine_state.c	Persisted Down/Booting/Up/Stopping/Degraded lifecycle JSON, PID liveness reconciliation, transition validation, and state epoch survived carrier restart.	recover explicit lifecycle, durable operational posture, PID liveness, stale recovery; reject hostname machine sovereignty and carrier taxonomy
L13-02	68095595327a6ea11024c044ac9205496701a854	core/runtime/machine/runtime_loop.c	Foreground bounded tick loop advanced supervisor observation and process-watch scan; it was rooted at case://root and had no independent Case work scheduler.	recover bounded foreground loop only; reject root Case and Supervisor ownership
L13-03	68095595327a6ea11024c044ac9205496701a854	core/runtime/machine/carrier_loop.c	One session descriptor selected root/active/parent Case ticks; process scan ran only in observe-heavy mode; no worker pool or per-Case queue existed.	reject as multi-Case scheduler authority
L13-04	68095595327a6ea11024c044ac9205496701a854	core/case/attachments/process_watch.c:yai_case_process_watch_scan_all	Enumerated at most 2048 latest registered process attachments, probed PID liveness, updated observations, and optionally mediated enforcement.	recover bounded scan-many and liveness observation; not work dispatch
L13-05	68095595327a6ea11024c044ac9205496701a854	core/case/registry/records.c:yai_case_registry_list_processes_latest	LMDB/JSONL latest-process projection backed scan_all; it enumerated processes, not runnable Case intent.	recover indexed operational scan; reject registry as scheduler
L13-06	68095595327a6ea11024c044ac9205496701a854	core/runtime/control/shell.c:yai_shell_queue_list	Read bounded per-item JSON files, sorted operator/review/authority notices, and exposed foreground/urgent summaries.	reject shell queue as execution authority or durable work scheduler
L13-07	68095595327a6ea11024c044ac9205496701a854	core/runtime/control/queue_gate.c	Projected policy/review/divergence gates and matched queue notices to equivalent CLI commands; no worker claimed or executed independent Case work.	recover typed parked reasons; reject queue projection as scheduler
L13-08	5af820f68825a0d25cac97d42e7e558a8fed9a93	control/mediation/admission.c:yai_runtime_control_admission_evaluate	Low-level IPC call admission validated transport/client refs, admitted a small read set, deferred Case projections, and blocked mutations/provider boundaries.	recover system/runtime admission distinct from Case governance; not scheduling permission
L13-09	776af9f33be01a7d8f54c4f25426a047c2781782	usr/libexec/yai/state/runtime/source/source_runtime.c	File-spooled source units had idempotency keys, attempts, retry timestamps, queued/delivered/failed directories, bounded pressure thresholds, start/tick/stop, and restart-visible counters.	recover durable bounded operational work, idempotency, retry/recovery properties; reject edge owner/delegation/arming topology
L13-10	1d912484d	supervisor/integration/runtime_bridge.c	Shared-memory energy quota and global authority_lock were executable but global, non-Tenant-fair, and unrelated to Case work admission.	reject as modern quota/fairness or authority model
L13-11	1d912484d	core/runtime, runtime, supervisor search	No pthread worker pool, per-Tenant scheduler, round-robin fairness, or Case work backpressure consumer was found.	new local operational scheduler semantics required
