case_id,base_test_id,cluster,prompt,role,ws_state,provider_state,llm_mode,fault_mode,seed,execution_profile,requires_llm,time_budget_ms,determinism_expected,expected_outcome_yai,expected_path_yai,required_evidence_yai,expected_outcome_standalone,expected_path_standalone,required_evidence_standalone,setup_required,expected_events,persistence_expected,notes
YAIQ1-0001,YAIQ-0001,Control Plane,"Connettiti a control.sock e fai handshake role=cli. Dimmi se l'arm è attivo e qual è il workspace corrente. (modalità read-only, nessun side-effect).",expired,none,,on,none,1000,yai_only,False,1200,strong,DENY_AUTH,L3;L2;L1;L2;L3,audit_event;trace_id,DENY_AUTH,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0002,YAIQ-0002,Control Plane,"Connettiti a control.sock e fai handshake role=cli. Dimmi se l'arm è attivo e qual è il workspace corrente. (se fallisce, includi error_code e trace_id).",operator,corrupt,,off,none,1001,yai_only,False,1200,strong,OK,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0003,YAIQ-0003,Control Plane,Connettiti a control.sock e fai handshake role=cli. Dimmi se l'arm è attivo e qual è il workspace corrente. (includi policy_hash e authority_decision).,viewer,none,,off,none,1002,yai_only,False,1200,strong,OK,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0004,YAIQ-0004,Control Plane,Connettiti a control.sock e fai handshake role=cli. Dimmi se l'arm è attivo e qual è il workspace corrente. (riporta anche spec_version e runtime_version).,unauthorized,none,,on,none,1003,yai_only,False,1200,strong,DENY_AUTH,L3;L2;L1;L2;L3,audit_event;trace_id,DENY_AUTH,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0005,YAIQ-0005,Control Plane,"Esegui PING su control.sock e riportami RTT e trace_id. (modalità read-only, nessun side-effect).",unauthorized,locked_self,,off,none,1004,yai_only,False,1200,strong,DENY_AUTH,L3;L2;L1;L2;L3,audit_event;trace_id,DENY_AUTH,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0006,YAIQ-0006,Control Plane,"Esegui PING su control.sock e riportami RTT e trace_id. (se fallisce, includi error_code e trace_id).",admin,locked_self,,off,oversize_payload,1005,yai_only,False,1200,strong,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;fault_mode;trace_id,DENY_POLICY,L3,audit_event;error_code;fault_mode;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0007,YAIQ-0007,Control Plane,Esegui PING su control.sock e riportami RTT e trace_id. (includi policy_hash e authority_decision).,admin,none,,on,none,1006,yai_only,False,1200,strong,OK,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0008,YAIQ-0008,Control Plane,Esegui PING su control.sock e riportami RTT e trace_id. (riporta anche spec_version e runtime_version).,admin,closing,,off,none,1007,yai_only,False,1200,strong,OK,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0009,YAIQ-0009,Control Plane,"Chiedi a control.sock la lista dei workspace attivi e il loro stato (locked/unlocked). (modalità read-only, nessun side-effect).",unauthorized,none,,off,none,1008,yai_only,False,1200,strong,DENY_AUTH,L3;L2;L1;L2;L3,audit_event;trace_id,DENY_AUTH,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0010,YAIQ-0010,Control Plane,"Chiedi a control.sock la lista dei workspace attivi e il loro stato (locked/unlocked). (se fallisce, includi error_code e trace_id).",expired,closing,,off,none,1009,yai_only,False,1200,strong,DENY_AUTH,L3;L2;L1;L2;L3,audit_event;trace_id,DENY_AUTH,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
