legacy_commit	paths_inspected	executable_property	verdict	target_or_reason
8a2b09e268fe6e20b1681dab7b22eac6b8239a8c	src/knowledge/retrieval/exact.c;structured.c;graph.c;semantic.c;vector.c;hybrid.c	separate exact/structured/graph/semantic/vector planes with bounded candidate sets	recover_concept	memory_index.rs implemented only exact operational/BM25/vector planes actually supported
8a2b09e268fe6e20b1681dab7b22eac6b8239a8c	src/knowledge/retrieval/hybrid.c	bounded total merge and candidate deduplication	recover_property	bounded per-plane/total union and memory-ID dedup before fusion
8a2b09e268fe6e20b1681dab7b22eac6b8239a8c	src/knowledge/retrieval/embedding_plane.c;embedding_runtime.c	explicit embedding request/result seam	recover_property	W18 ProviderGovernance text_embedding qualification plus exact profile/artifact contracts
8a2b09e268fe6e20b1681dab7b22eac6b8239a8c	src/knowledge/memory/runtime.c;episodic.c;semantic.c;consolidation.c;decay.c	memory-family lifecycle/provenance intent	recover_intent_only	preserve typed OperationalMemory kind/posture/provenance; consolidation remains H19
8a2b09e268fe6e20b1681dab7b22eac6b8239a8c	src/knowledge/recall;relevant memory/retrieval headers	recall reason/rank intent	recover_property	explainable per-plane ranks/evidence and deterministic RRF
8a2b09e268fe6e20b1681dab7b22eac6b8239a8c	src/models/embeddings;relevant headers/tests/consumers	request/result and capability distinction	recover_boundary	exact encoder identity and qualification evidence; embeddings derived only
8a2b09e268fe6e20b1681dab7b22eac6b8239a8c	src/knowledge/retrieval/vector.c;semantic.c	global mutable arrays; 8-dimensional byte-hash text_to_vector; raw L2	reject	process-local fake-vector truth and pseudo semantics are unsound
8a2b09e268fe6e20b1681dab7b22eac6b8239a8c	src/knowledge/memory/episodic.c;decay.c	mutable global episodic arrays; wall-clock decay; arbitrary salience	reject	no canonical provenance or rebuild-safe authority
8a2b09e268fe6e20b1681dab7b22eac6b8239a8c	adjacent memory/retrieval consumers	case://global; unversioned embedding refs; direct vector promotion	reject	violates Case isolation/profile identity/qualification barrier
cffb318b980456f2671a297e14a6b05f5ac68320	relevant knowledge tree history	strongest organized placement before drain	history_context	used to locate adjacent families rather than recover directory ownership
2a4018147219044dfe1fad2268759b1f2a585945	relevant deletion patch	legacy substrate drain/removal	reject_resurrection	recover contracts only; do not restore planes/managers/global ownership
history-wide	src/knowledge/memory/working.c;src/knowledge/memory/rank.c	requested source names never existed; headers/adjacent implementation inspected instead	not_found_honestly	no claim based on missing files
