record	caller_or_runtime	store_method	LMDB_transaction	Cases_read	Case_written	expected_generation_and_digest	integrity_idempotency_concurrency	crash_consequence
WorkflowPlanPatchProposed	yai workflow patch propose	propose_workflow_plan_patch_human / propose_workflow_plan_patch_txn	one RW txn	source	source	Case generation + exact current topology digest	content/provenance-bound; exact retry returns original transition; stale refused	before commit absent; after commit candidate only
WorkflowPlanPatchProposed	ModelWork plan_patch adapter	propose_workflow_plan_patch_from_provider_result	one RW txn	source history+state	source	exact execution/invocation/result lineage + topology digest	one exact causal execution; malformed/forged refused; exact retry idempotent	ProviderResult remains; topology unchanged until adoption
WorkflowAmendmentAdopted	yai workflow patch adopt	adopt_workflow_plan_patch	one RW txn	source+Definitions	source	generation + previous/result digest + parent revision	owner auth; replayed identity; one winner/stale losers	commit is complete fact; ReadyWork rederived after restart
WorkflowNodeExecutionStarted	RuntimeInstance materializer	materialize_workflow_ready_work	one RW txn	source+Definition graph	source	generation + exact effective topology/qualified node	execution+WorkItem atomic and content-bound	neither visible before commit; both after
WorkflowNodeSatisfied	Runtime/passive progression	complete runtime path / advance_workflow_passive_progress	one RW txn	source+Definition graph	source	generation + canonical predicate/evidence	store rederives; duplicate semantic fact idempotent/refused	frozen fact outranks stale checkpoint
WorkflowConditionResolved	passive progression	advance_workflow_passive_progress	one RW txn	source+Definition graph	source	generation + predicate digest	first canonical result frozen	later Case truth cannot flip it
WorkflowHumanInputRecorded	yai workflow input	record_workflow_human_input	one RW txn	source+Definition graph	source	generation + qualified node	eligibility/input rederived; first value wins	committed input frozen
WorkflowDeterministicProposalRecorded	Runtime deterministic adapter	record_workflow_deterministic_proposal	one RW txn	source+Definition graph	source	generation + qualified execution	exact proposal identity; retry returns same fact	Operation derivation resumes without duplicate proposal
HandoffOffered	yai case handoff offer / passive Handoff node	offer_case_handoff_for_node	one RW txn	source+target+active same-Tenant graph	source	source generation + exact binding/qualified node	content-bound; same offer idempotent; cycle rederived in txn	one offer or none
HandoffAccepted	yai case handoff accept	accept_case_handoff	one shared-store RW txn	target+source	target	target generation; current source lifecycle	target roles/link and offer rederived; one terminal posture	accepted fact survives source later cancellation
HandoffDeclined	yai case handoff decline	decline_case_handoff	one shared-store RW txn	target+source	target	target generation; current source lifecycle	content-bound; mutually terminal with accept	terminal edge becomes inactive
HandoffResultRecorded	yai case handoff result	record_case_handoff_result	one RW txn	target history+state	target	target generation + exact acceptance	target-local refs; exact retry idempotent; conflict refused	one result or terminal Case disposition
HandoffReconciled	yai case handoff reconcile	reconcile_case_handoff	one shared-store RW txn	source+target	source	source generation + exact target disposition	owner auth; exact retry returns original; no loser churn	committed source-local truth survives restart
