delta	owner	posture	reason
production_speech_to_text_target	provider/operator	DEFERRED	I03 proves generic typed realization, not Whisper integration
production_image_understanding_target	provider/operator	DEFERRED	I03 proves generic typed realization, not a vision-model integration
public_yvex_typed_media_adapter	YVEX/provider integration	AWAITING_EXTERNAL_CONTRACT	private protocol is not consumed and live public inputs were unavailable
automatic_auxiliary_to_primary_orchestration	future interlock	DEFERRED	one exact plan realization is the I03 completion boundary
dynamic_cognitive_target_arbitration	future interlock	DEFERRED	I02 bindings remain exact operator/governance choices
non_text_generated_content	future content/provider work	DEFERRED	I03 normalization admits bounded derived text only
provider_streaming	future provider work	DEFERRED	buffered providers remain valid and no SSE redesign is justified
product_chat_frontend	Replia/YAI frontend integration	DEFERRED	terminal mechanics and Product yai chat remain external/later
H20	Foundation roadmap	NOT_STARTED	not authorized by I03
W21	Foundation roadmap	NOT_STARTED	not authorized by I03
W22	Foundation roadmap	NOT_STARTED	not authorized by I03
