edge	owner	durable	canonical	transaction_or_boundary	expected_predecessor	crash_consequence	concurrent_writer_consequence
Case ResourceAttachment -> ResourceIdentity	transition.rs + resource_control.rs	yes	attachment yes; derived identity yes	Case transition replay + deterministic identity derivation	Tenant-scoped immutable attachment	attachment replays; no lease is created	all writers derive the same Tenant-bound resource ID or conservative overlap relation
Decision/Grant -> PREPARE acquisition	store/lmdb.rs	yes	yes	one LMDB RW transaction	current issued Grant, exact Case generation, valid policy/time	neither PREPARE nor resource lease becomes visible on abort	LMDB single-writer commit selects at most one acquisition
resource current state -> acquisition conflict	resource_control.rs + store/lmdb.rs	yes	yes	same PREPARE RW transaction	validated ResourceIdentity	no state change on rejection	conflicting active lease returns resource_temporarily_owned before PREPARE
acquisition -> ResourceControlEvent	resource_control.rs + store/lmdb.rs	yes	yes	same PREPARE RW transaction	new epoch and fence	both event and state abort with PREPARE	no duplicate committed epoch through LMDB serialization
acquisition -> ResourceControlState	resource_control.rs + store/lmdb.rs	yes	yes	same PREPARE RW transaction	prior state or first epoch	materialized state and history commit together	one active lease per exact/overlapping resource view
PREPARE -> filesystem carrier	effect.rs	yes	Case PREPARE canonical; carrier mechanical	carrier call	canonical active fence and exact effect chain	crash before mutation leaves Prepared + active lease	W14 revalidates fence but pathname is re-resolved after validation (H14 TOCTOU hypothesis)
PREPARE -> process.signal carrier	effect.rs	yes	Case PREPARE canonical; carrier mechanical	carrier call	exact process birth identity + canonical active fence	crash after kill(2) can leave Prepared + active lease	stale fence/process birth mismatch blocks syscall; uncertain acknowledgement remains unresolved
carrier -> INDETERMINATE	controlled_effect.rs + transition.rs	yes	yes	Case transition transaction	Prepared effect	active resource lease is deliberately retained	unrelated PREPARE remains resource_temporarily_owned
carrier -> FINALIZE + release	controlled_effect.rs + store/lmdb.rs	yes	yes	one LMDB RW transaction	terminal effect payload + exact current fence	abort leaves nonterminal Case truth and active lease	commit exposes terminal effect and released state together
INDETERMINATE -> RECONCILE + release	controlled_effect.rs + store/lmdb.rs	yes	yes	one LMDB RW transaction when terminal	same unresolved effect and current/reclaimed fence	nonterminal reconciliation retains lease	only same Effect may reclaim; unrelated writers stay blocked
dead owner -> same-Effect reclaim	store/lmdb.rs	yes	yes	one LMDB RW transaction	exact current fence, dead birth identity, same Case/Grant/Effect	abort retains old epoch/current fence	one reclaim winner; later attempts see non-current prior fence
ResourceControlEvents -> current state	resource_control.rs + store/lmdb.rs	events yes; state yes	yes	H14 gap before modification	ordered per-resource history	v1 event lacks full identity/fence needed for exact rebuild	impossible histories were not yet mechanically replayed
resource busy -> RuntimeWorkItem	runtime_instance.rs + store/lmdb.rs	yes	operational only	worker completion update	PREPARE rejection before Case mutation	WorkItem was Failed before H14	terminal operational loss rather than parked retryable work
