recovery_id	semantic_axis	semantic_property	legacy_repository	legacy_commits_inspected	legacy_paths_symbols	legacy_evidence_type	legacy_execution_status	legacy_consumers	legacy_lifecycle	legacy_failure_semantics	legacy_owner	current_yai_sha	current_owner	current_paths	current_status	current_consumers	semantic_delta	disposition	refounded_owner	proof	remaining_gap	next_recheck_family	last_legacy_reinspection	last_current_verification_sha	confidence	notes
FR-021	workflow	Case-bound workflow definition and deterministic progression	yai-dev	94ba62709;cffb318b9;001752f52;840aee946;680955953	core/orchestration/flow/model/flow.c;core/orchestration/substrate/flow_substrate.c;include/orchestration/planning.h;apps/cli/cmd/flow;src/orchestrator/workflow	source+history	executable_partial	flow CLI;file substrate;current-work projection	definition/components/dependencies/progress/gates/interactions	mega-owner mixed policy/operations/reconciliation/modules/mounts/coordination; many later stubs	flow substrate/controller	184a32987958fa49a9098908721eb54410246a8c	workflow+Transition+LMDB+existing RuntimeInstance	engine/yai-engine/src/workflow.rs;transition.rs;store/lmdb.rs;cmd/yai/src/workflow.rs;case_runtime.rs;runtime_instance.rs	refounded_proven+adversarially_qualified	workflow CLI;RuntimeInstance;Case runtime	immutable Tenant definition; typed predicate placement; semantic-cycle rejection; one-winner progression; exact Definition retention; deterministic replay; recovery-qualified ModelWork and deterministic work	refounded_proven+crash/replay/concurrency-qualified	WorkflowDefinition plus existing Case owner	H15 focused unit/store/product multi-process+crash+128-node proofs	PlanPatch/subflow/handoff; unresolved software-version compatibility	W17	2026-09-01	184a32987958fa49a9098908721eb54410246a8c	high	H15 exceeds legacy; WorkflowRun remains derived_no_owner; no Agent/Orchestrator/WorkflowManager restored
FR-022	workflow	adaptive composition and same-Tenant Case handoff	yai-dev	94ba62709;001752f52;840aee946;cffb318b9	core/orchestration/flow/model/flow.c;core/orchestration/substrate/flow_substrate.c;core/orchestration/planning;core/orchestration/routing;core/orchestration/handoff;include/orchestration	source+history+tests	executable_partial	flow current-work;handoff stubs;planner/routing consumers	request/result separation;parent-child intent;dependency progression;reconciliation intent	mutable flow controller; actor/provider routing; filesystem current truth; no exact concurrent adoption or authority isolation	flow controller+global orchestrator	2df9bb5c2bbd7efc53ed54527111522af329cf93	WorkflowDefinition+Case Transition history+derived EffectiveWorkflowTopology+existing RuntimeInstance	engine/yai-engine/src/workflow.rs;engine/yai-engine/src/handoff.rs;engine/yai-engine/src/transition.rs;engine/yai-engine/src/store/lmdb.rs;cmd/yai/src/workflow.rs;cmd/yai/src/handoff.rs	refounded_proven+adversarially_qualified	Workflow resolver;RuntimeInstance;W16 CLI	content-bound PlanPatch origin; 32-link one-winner amendment chain; depth-4 qualified recovery; target-local Handoff evidence; serial cancellation; acyclic 64-Case graph rebuild	refounded_proven+replay_upgrade_concurrency_qualified	Case canonical facts; no new independent semantic owner	H17 focused multi-process/corruption/replay/graph evidence	provider governance only	Wave18	2026-09-02	2df9bb5c2bbd7efc53ed54527111522af329cf93	high	H17 exceeds legacy; EffectiveTopology and MultiCaseProcess remain derived_no_owner; no new DB/owner
FR-023	provider	governed provider qualification, selection, and safe failover	yai-dev	f8bad7fe3;51a40e11f;46794683e;e89ee42a6;94ba62709;cffb318b9;2a4018147	include/yai/providers/registry.h;src/providers/registry/registry.c;src/providers/model/profile.c;src/providers/registry/profile_catalog.c;src/providers/routing/routing.c;src/providers/routing/admissibility.c;src/providers/routing/selection.c;include/yai/knowledge/inference/frame.h;src/knowledge/reasoning/capabilities.c;src/knowledge/reasoning/select.c;src/models/registry/selection_engine.c	source+history+tests	executable_partial	provider registry/profile; routing; knowledge capabilities; model selection consumers	target/profile registration; capability requirements; candidate/exclusion selection; fallback visibility	name-inferred provider kinds; hard-coded lists; fake health; subjective capabilities; environment authority; implicit fallback; Agent routing	provider registry+routing+Agent selection	406a6b52c44e66c3506f63de5c7d10bb01a20c62	Tenant provider governance owner+operational ProviderHealth+Case Transition history	engine/yai-engine/src/provider_governance.rs;engine/yai-engine/src/transition.rs;engine/yai-engine/src/store/lmdb.rs;cmd/yai/src/provider_governance_cli.rs;cmd/yai/src/case_runtime.rs	refounded_proven	provider CLI;Case runtime;Workflow ModelWork;RuntimeInstance	immutable Tenant targets; synthetic evidence qualification; explicit trust; fresh shared health; deterministic Case selection; bounded attempt lineage; zero-byte safe failover; indeterminate-delivery stop	refounded_proven+evidence_bound_selection_qualified	shared Tenant ProviderGovernance catalog + operational ProviderHealth + existing Case owner	W18 engine concurrency/replay tests; real HTTP qualification/selection/failover fixtures; full lower-wave regression	qualification corruption; credential/endpoint drift; extreme health/trust/selection races; unusual HTTP/TLS and extension attacks	H18	2026-09-02	406a6b52c44e66c3506f63de5c7d10bb01a20c62	high	Capabilities remain derived; selection/attempts remain Case-canonical; 37/40 DBs; no provider authority or YVEX administration
FR-001	history	Transition Ledger	yai-dev	E05 and refoundation audits	record/state/closure paths	source+tests	executable_proven	Case runtime/effects	durable history	closure/replay checks	legacy record/data planes	3403ecdd	Transition/LMDB	engine/yai-engine/src/transition.rs;engine/yai-engine/src/store/lmdb.rs	refounded_proven	all current Case verticals	current typed ledger stronger	already_refounded	Transition+CaseState	Wave2+ regression suite	compaction/longevity	data_longevity	2026-08-29	7ce67afee34a3dbe879c2e5bee945602492be70c	high	reopen for compaction
FR-002	state	CaseState materialization	yai-dev	E05/E07	case/state materialization	source+tests	executable_proven	runtime/query	rebuildable	stale/partial state	multiple historical owners	3403ecdd	Transition reducer	engine/yai-engine/src/transition.rs	refounded_proven	runtime/context/effects	atomic with ledger	already_refounded	CaseState reducer	Wave2 replay tests	full lifecycle	case_lifecycle	2026-08-29	7ce67afee34a3dbe879c2e5bee945602492be70c	high	derived context excluded
FR-003	governance	Governance source intake	yai-dev	885ddac44;c3f599890;45c36bd0c;575f76fcd;c5501101f;1ebfb8d84;2eeb8ea22;3cb2e94a4;a22476726;526c824bd;7b3c1b7bc;2a4018147;5c1c7b9d	governance/ingestion;tools/gen/deterministic_governance_ingestion.py;tools/bin/yai-govern;runtime attach sources	source+scripts+fixtures+history	executable_partial	authoring CLI;validator;manual registry attach	source→parsed→normalized→candidate→review	unknown retained;conflicts block readiness;schema library could warn only	ingestion forest + CLI files	c4247188	governance compiler	engine/yai-engine/src/governance.rs;cmd/yai/src/policy.rs	refounded_proven	policy authoring + Wave10 admission	v3 authority facts added only for real consumer	refounded_proven	one compiler + LMDB governance history	governance/H8/Wave10 tests	authenticated ownership	Wave12	2026-08-29	pre-publication	high	reopened directly; TSV not authority
FR-004	governance	PolicyArtifact lifecycle	yai-dev	885ddac44;c3f599890;45c36bd0c;575f76fcd;1ebfb8d84;7b3c1b7bc	tools/bin/yai-govern review commands;ingestion/review;runtime session metadata	source+script tests	executable_partial	authoring CLI;runtime attach	candidate/validated/review/approved/apply/applied/superseded/retired	mutated candidate;path refs;no lineage enforcement	file review state	c4247188	append-only governance history	governance.rs;store/lmdb.rs	refounded_proven	Case binding/admission	owner-scoped immutable lifecycle and exact refs consumed	refounded_proven	PolicyArtifact + lifecycle events	atomicity/concurrency/P@1/P@2 + Wave10 tests	publisher authentication/withdraw semantics	Wave12	2026-08-29	pre-publication	high	runtime_consumable remains eligibility only
FR-005	governance	Case PolicyBinding	yai-dev	8daca5604;681252f99;45c36bd0c;575f76fcd;1d912484d;dda93ee3a	case registry refs;case policy stubs;runtime aliases;workspace attach;control bridge	source+tests+history	executable_partial	runtime qualification	attach/refs/ready gate	missing refs fail closed;moving aliases not pinned	registry/session/supervisor	c4247188	Transition+CaseState+LMDB	transition.rs;case_policy.rs;store/lmdb.rs	refounded_proven	Case policy CLI + admission	exact binding now consumed by DecisionBasis/Grant	refounded_proven	CasePolicyBinding transitions	Wave9 tests + Wave10 stale race	authenticated mutation;validity/revoke	Wave11/12	2026-08-29	pre-publication	high	no automatic latest
FR-006	governance	EffectivePolicy materialization	yai-dev	8daca5604;681252f99;1d912484d;dda93ee3a	registry readiness;stated/legald views;resolver precedence/conflicts/effective;control bridge	source+tests+history	executable_partial	runtime mediation	generated materialization/readiness	missing refs fail closed;conflicts/defaults weak	generated views/resolver forest	c4247188	CasePolicy materializer	case_policy.rs;store/lmdb.rs	refounded_proven	status + admission	v2 adds additive role requirements and exact operational consumer	refounded_proven	EffectivePolicy v2 + NormativeStatus	Wave9 rebuild + Wave10 admission tests	validity scopes	Wave11/12	2026-08-29	pre-publication	high	derived, never authority alone
FR-007	authority	Policy-driven DecisionBasis	yai-dev	8daca5604;a6b67ee39;681252f99;1d912484d;5c1c7b9d0	control/mediation;controlled_action;subjects;policy evaluation;runtime bridge	source+tests+history	executable_partial	legacy mediation/runtime	operation evaluation	missing context sometimes closed; default ALLOW and bypasses elsewhere	authority/control/supervisor planes	55db3a7c+H10-prepublication	admission + transactional canonical writer	engine/yai-engine/src/admission.rs;effect.rs;transition.rs;store/lmdb.rs	refounded_proven	filesystem runtime/review/Grant	content integrity now explicitly separated from semantic authority; exact basis re-derived at write time	refounded_proven	one admission owner	H10 forged ALLOW/rules/roles/evidence injection tests + product suite	validity/revoke/authentication	Wave11/12	2026-08-30	pre-publication	high	DecisionBasis v1/Decision v2 unchanged; canonical-write-verified
