record	writer	storage	transaction/authority	idempotency/concurrency	crash/replay
ProviderTarget	provider add; register_provider_target_authorized	provider_governance target:key	single RW txn; Tenant Owner; content identity	exact repeat returns same target; bound 128/Tenant	immutable record replay
ProviderQualification	provider qualify; qualify_provider_target_authorized	provider_governance qualification:id	single RW txn; Tenant Owner; evidence rederived; effective time	immutable run identity; current derived by time/id and credential revision	history scan validates every candidate
ProviderTrustEvent	provider trust; set_provider_trust_authorized	provider_governance trust:target:sequence	single RW txn; Tenant Owner; store time	contiguous sequence under LMDB single-writer; same posture idempotent	current rebuilt from complete history
ProviderCredentialRevision	provider credential rotate	provider_governance credential-revision:target:sequence	single RW txn; Tenant Owner; no secret	contiguous monotonic sequence	current rebuilt from history; qualification filtered by revision
ProviderHealthState	probe/invocation outcome/credential rotation	provider_runtime_health exact target	RW txn; Owner probe or canonical attempt; operational effective time	exact probe owner; health target/Tenant exact	restart validates integrity; stale posture becomes Unknown by floor/freshness
CaseProviderBinding	case provider bind	Case Transition/CaseState	secured Case transition; Tenant Owner; exact generation	content-idempotent; Case generation serializes	replayed from Transition v12
ProviderSelection	case runtime selector	Case Transition/CaseState	same RW txn reads Case/catalog/trust/qualification/health then writes selection	same logical turn/attempt one fact; stale contenders observe winner	replayed historical selector version
ProviderInvocationStarted	case runtime	Case Transition/CaseState	secured transition after current eligibility and credential recheck	one exact invocation per selection/attempt	committed start remains historical; possible delivery handled by outcome
ProviderAttemptOutcome	case runtime transport classifier	Case Transition/CaseState	secured transition; selection/invocation/result revalidated	exact repeat idempotent; conflict refused	one terminal attempt classification
ProviderResultRecorded	case runtime	Case Transition/CaseState	secured transition bound to exact invocation	one accepted result per logical turn	committed result prevents duplicate provider call
